,user_id,user_country,sex,height,weight,started,birth,ascent_id,grade_id,method_id,description,climb_type,date,year,name,crag,sector_id,sector,country,rating,user_recommended,score,fra_routes
23709,59414,PRT,0,172,68,2014,1988-09-05,4548576,46,1,,0,1481324400,2016,Co'mequito ou deixo?,Azoia,763,Condominio fechado,PRT,0,0,650,6c+
23710,59414,PRT,0,172,68,2014,1988-09-05,4581342,46,3,,0,1483743600,2017,Mango e meio,Meio mango,694,Poças,PRT,0,0,650,6c+
23712,59414,PRT,0,172,68,2014,1988-09-05,4633835,46,3,,0,1489273200,2017,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
23714,59414,PRT,0,172,68,2014,1988-09-05,4791722,46,1,,0,1498255200,2017,Salto imortal,Azoia,642,Cova mijona,PRT,0,0,650,6c+
23718,59881,PRT,0,180,68,2015,,4859040,46,1,,0,1502316000,2017,Via láctea,Guia,461,Degraus,PRT,0,0,650,6c+
23719,60387,POL,0,170,63,2012,,4552840,46,1,,0,1481583600,2016,Intuiçao primaria,Guia,0,Farol,PRT,1,0,650,6c+
23720,60934,DEU,0,170,63,0,1975-12-29,4047341,46,1,,0,1421103600,2015,Bad boys,Fenda,810,Crocodilos,PRT,0,0,650,6c+
23721,60934,DEU,0,170,63,0,1975-12-29,4047346,46,3,,0,1421190000,2015,Reforma educativa,Fenda,427,Carallon,PRT,0,0,650,6c+
23735,62365,BRA,0,170,63,2012,,4407243,46,2,,0,1426633200,2015,Reforma educativa,Fenda,427,Carallon,PRT,1,0,650,6c+
23742,62432,PRT,0,0,0,0,,4653534,46,1,,0,1490738400,2017,Limpógu,Fenda,1950,Carallon,PRT,0,0,650,6c+
23744,62642,PRT,0,0,0,0,,4231048,46,2,,0,1460844000,2016,Limpógu,Fenda,1950,Carallon,PRT,3,0,650,6c+
23746,62642,PRT,0,0,0,0,,4591535,46,1,,0,1485039600,2017,Reforma educativa,Fenda,427,Carallon,PRT,0,0,650,6c+
23749,63280,POL,0,0,0,2013,,4562304,46,1,,0,1482620400,2016,Intuição primária,Guia,904,Farol,PRT,0,0,650,6c+
23750,63315,PRT,1,166,53,2015,1991-01-29,4517476,46,1,,0,1478386800,2016,Reforma educativa,Fenda,427,Carallon,PRT,3,1,650,6c+
